"gene","logFC","logCPM","F","PValue","FDR"
"SSTR1",-2.14249477270965,5.46694130422385,70.4700055425158,1.40967867979138e-07,6.57892005291924e-06
"CEBPB",2.59515193129492,5.05535831035096,65.2465306057275,1.61466839620793e-07,7.46891301502552e-06
"SLC6A17",2.59920724632595,5.83552332484548,71.9080655311819,1.64551199459813e-07,7.54481683838983e-06
"ABRACL",2.09842703706037,5.79758394004178,67.0366772181151,1.66013154577604e-07,7.54565877371424e-06
"SSX2IP",-2.28482978470087,6.73758629077412,73.5560108968604,1.7472479555005e-07,7.87315953741474e-06
"P4HA2",-1.56397670174352,7.23167065429659,74.9772523019804,1.81343001668615e-07,8.10153734805e-06
"CYYR1",8.19498296078413,5.78827819478954,110.034613361277,1.84139263494207e-07,8.15674517190017e-06
"USH1C",-2.31343414414062,6.59795565596025,71.4971896234561,1.94585803787938e-07,8.54705879327353e-06
"ZFP36",-2.0593281246095,8.02659103965244,73.9180322584506,1.98877419876341e-07,8.66276894744694e-06
"HIGD1A",-1.50350827860065,7.91526438269557,73.6478892168289,2.01974331788824e-07,8.72495729140647e-06
"ENO1",1.14241748859594,9.84318115022596,73.3513133836994,2.05812543028278e-07,8.81788657712137e-06
"RFX6",-1.32559272030841,7.67720336876396,72.0218729203066,2.36032395834884e-07,1.00304173416987e-05
"LMO2",2.14628105818759,5.23302337191216,64.3390592089307,2.58232914653416e-07,1.08853503620436e-05
"FXYD2",2.751427452294,9.1518179303393,64.9632202372634,2.77725709294757e-07,1.16110522075993e-05
"ADCY1",-1.83676187057525,6.26163125901582,65.5112135990168,2.79891444070692e-07,1.16110522075993e-05
"SLC39A14",1.52937112250328,7.57726809615911,69.667854684731,2.93111060787172e-07,1.20637127144453e-05
"NMB",-1.85073691576811,5.9672387555208,67.7665690479718,2.96604445937607e-07,1.21121206165302e-05
"KIF12",-2.33975119012286,6.27354144540074,63.2140022667854,3.15973783635989e-07,1.28030617601962e-05
"GNAI1",-1.35839718647298,7.21443445790234,68.0636540967945,3.45812344835916e-07,1.39043163573641e-05
"TMSB10",-1.29087727304771,8.21444720592341,67.5726367116344,3.5626304432452e-07,1.42151674250707e-05
"EGFL7",-3.16947360406128,6.32059727852545,63.9310503924371,3.64284351899662e-07,1.44251083892389e-05
"GRAMD4",-3.23167704051287,5.874037824385,58.5525619581198,3.76931079439654e-07,1.4813674828805e-05
"DHRS2",2.40047788065639,7.04968957575616,65.6376584954856,4.09276970569835e-07,1.59648561579741e-05
"ZNRF1",-2.50168672444881,5.8697862635483,64.3788753266103,4.44550633602754e-07,1.72123419395674e-05
"ENO2",1.05686076073619,8.0105548244699,63.9474247948007,5.1788047800755e-07,1.99041269010696e-05
"RPS6KA3",-1.42278479693136,7.35889362834519,63.84542111126,5.27215769980677e-07,2.00131539089626e-05
"EIF4A2",1.01588751098059,10.0722181965918,63.6267376137248,5.28374830579077e-07,2.00131539089626e-05
"SLC22A17",-1.45565802097898,8.70233084464727,63.3311384154252,5.45762569504091e-07,2.05230284230064e-05
"PARP14",-1.74090437768923,5.7124202916739,58.5853510935065,5.64598807163804e-07,2.10796997503229e-05
"IVNS1ABP",-1.83012927007065,6.64650986003733,58.4132337873649,5.81193938590898e-07,2.12753878209544e-05
"NME4",-1.46212676372962,6.88395667748196,62.9534942943155,5.81233683626394e-07,2.12753878209544e-05
"ACSL1",1.71149826896866,5.98821678805978,62.9878481217919,5.82050977309447e-07,2.12753878209544e-05
"SERPINE2",-2.60650614503008,7.08472456153074,60.8766174622733,5.99609843673583e-07,2.17650045339015e-05
"ARG2",1.58190240342753,6.82033462254863,61.6264562977271,6.14567682224326e-07,2.21541053447348e-05
"PLEKHA6",1.7803889687938,6.26592717873702,58.4289179619083,6.36650898612896e-07,2.27204341885188e-05
"NCOR2",1.12217084872305,7.2984260388743,61.9165370632451,6.38971460821173e-07,2.27204341885188e-05
"EDARADD",1.69718727864452,6.80240322990536,59.4785229634652,6.55776726223153e-07,2.31604388376245e-05
"FAM105A",2.00312778968753,6.85953936030949,62.8351360843354,7.03468225996805e-07,2.45918979892773e-05
"CD99L2",-1.8717409562992,7.43232201675921,60.3336296522923,7.05717371033401e-07,2.45918979892773e-05
"CD63",-0.743708009979591,10.9247058113253,60.6082510075308,7.2484827188111e-07,2.50912709743216e-05
"ARHGAP1",-1.17054288352249,8.35512572634889,60.4802841299791,7.39152905883998e-07,2.52738146894258e-05
"RASD1",1.30089892234778,9.39913900877343,60.4275564877504,7.39792165196509e-07,2.52738146894258e-05
"HMGB3",-3.34380508244762,6.51721706390544,56.1033760594474,7.49079609836104e-07,2.54249293546319e-05
"NKX6-1",2.35041225579312,6.81860125477064,55.6191640937488,7.90079984993766e-07,2.66435360100801e-05
"PLK2",-1.5032685137893,7.78145185607027,59.5423447008435,8.1081349186199e-07,2.70772602061347e-05
"MAP1B",1.13019871985417,9.50006960942672,59.528072064959,8.16908180184722e-07,2.70772602061347e-05
"ID1",2.2361310223688,8.65550332965234,60.2438391238467,8.18482324960643e-07,2.70772602061347e-05
"RHOB",-1.87549274169932,7.53848477452147,59.4982672316446,8.27737855087508e-07,2.72043745329335e-05
"GCNT1",-1.59325090120626,6.61256991108896,58.3606388200657,8.32733867470701e-07,2.72043745329335e-05
"NUCB1",-1.3249726083677,8.35042730130274,59.2889196218439,8.39651909434517e-07,2.72600032957405e-05
"TBC1D24",2.46027825129451,6.30721579554437,50.8364179525499,8.72092907577362e-07,2.80965881324696e-05
"BSG",-0.992180480792791,8.94261876148053,58.845659860193,8.7931948362345e-07,2.80965881324696e-05
"GC",-6.40195074694817,9.37615994227624,94.7404108154196,8.81545906585998e-07,2.80965881324696e-05
"SPINK1",-2.85843770324874,7.43638367708878,57.9986859120492,9.05880390166318e-07,2.86971927236324e-05
"ELL2",-1.96697751665056,8.84726827642968,58.914914673024,9.39038755665452e-07,2.94344077745549e-05
"SLC7A14",-2.91392122259738,6.04048026048672,54.3303591633965,9.40414405653465e-07,2.94344077745549e-05
"NTPCR",1.42149021162264,6.45599617193029,57.7879504625723,9.80895637877031e-07,3.05186993999002e-05
"FSTL5",-2.28527449645335,5.840851990037,49.4733623850098,1.00674899166848e-06,3.11377336062198e-05
"A1CF",-2.28079151887305,6.57287907094905,55.6570586103164,1.06496841090197e-06,3.27446463752037e-05
"PLCB4",1.44810562382167,6.27410312569465,48.954463348723,1.10410113582663e-06,3.37493370582795e-05
"RPL4",0.865684851686946,10.29500025865,56.6653682380471,1.11808371041049e-06,3.39780439204396e-05
"CAMK2G",-2.01849473927081,7.18573575959343,56.5876591063251,1.15413885941232e-06,3.48710047291804e-05
"SEPW1",1.19516986717016,8.11672116029103,59.1545517756434,1.28156630288938e-06,3.84985463517403e-05
"PTP4A3",-2.44803135708223,7.2331803258693,55.9029607366075,1.31668509239325e-06,3.9327502731083e-05
"CXXC5",1.0861072538412,7.64336717949453,55.1874500888619,1.34126272125953e-06,3.98339786592247e-05
