"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.9005868980146e-56,4.11691255698825,0.419,0.018,4.64035891944376e-52,"5","4930427A07Rik"
3.80982314124895e-56,1.84943028448675,0.87,0.285,6.09495506137007e-52,"1","Phgdh"
7.97716792769183e-56,2.19412266907973,0.74,0.175,1.27618732507214e-51,"1","Nfib"
1.30450633836545e-55,2.57035955894957,0.642,0.135,2.08694924011705e-51,"1","Gpx8"
2.55726182762177e-55,1.80863865979427,0.935,0.432,4.09110747182932e-51,"1","Csrp2"
5.33010344307099e-55,3.09588245051979,1,0.511,8.52709948822496e-51,"5","Hmgb2"
6.51050642813406e-55,3.1883727509061,0.667,0.079,1.04155081837289e-50,"5","Nrm"
8.5636987823174e-55,3.54473653740165,0.496,0.069,1.37002053119514e-50,"0","Hpca"
1.0137482608614e-54,4.98471541177725,0.323,0.006,1.62179446772607e-50,"5","Neil3"
1.07809401294027e-54,0.628894733300107,1,1,1.72473480190185e-50,"1","Rpl23"
1.29805397197067e-54,0.670812404209172,1,1,2.07662674435868e-50,"1","Rpl32"
1.50657244383446e-54,3.4520303826051,0.903,0.237,2.41021459564637e-50,"5","Cks2"
1.53558429913605e-54,2.54335829671164,0.903,0.182,2.45662776175785e-50,"5","Rfc5"
1.73608362167357e-54,2.47615116360245,0.642,0.132,2.77738657795337e-50,"1","Trip6"
2.39661194877181e-54,4.22679619956507,0.419,0.02,3.83409979564514e-50,"5","Ncaph"
2.86671451511344e-54,0.681048775165707,1,1,4.58616988127848e-50,"1","Rps8"
2.90601445152113e-54,3.19682248243012,0.624,0.071,4.64904191954351e-50,"5","Nrarp"
3.80169549255538e-54,3.17472824526039,0.53,0.081,6.0819524489901e-50,"1","Gja1"
8.05020715852882e-54,2.10228396194411,0.749,0.195,1.28787214122144e-49,"1","Ccnd1"
9.18668425332752e-54,0.641478897991036,1,1,1.46968574684734e-49,"1","Rps2"
1.12418098958195e-53,5.27477691434391,0.344,0.012,1.7984647471332e-49,"2","Gip"
2.2332637447017e-53,2.11878808400336,0.744,0.198,3.57277533877377e-49,"1","Galk1"
2.5066017847101e-53,2.81043923063259,0.497,0.051,4.01006153517922e-49,"2","Mnx1"
3.29797404101257e-53,8.49081347641086,0.85,0.046,5.2760988708119e-49,"6","Sst"
4.88112411231054e-53,0.544414181971021,1,1,7.80882235487441e-49,"1","Rps16"
4.92201142572811e-53,0.863782113367517,1,0.99,7.87423387887983e-49,"1","Rpl22l1"
5.18776754922876e-53,3.85580674385705,0.387,0.022,8.29939052525616e-49,"2","Frzb"
6.50852099424916e-53,0.674442622638296,1,1,1.04123318865998e-48,"1","Rplp0"
9.79678189807968e-53,0.592884135473739,1,1,1.56728916805479e-48,"1","Rpl21"
